batch,repo,category,sample_index,file,sample_status,error,std_mpsc,tokio_mpsc,tokio_broadcast,tokio_watch,tokio_oneshot,futures_mpsc,futures_oneshot,crossbeam_channel,async_channel,flume,async_priority_channel,total_channel_creation_sites
1,rustdesk/rustdesk,mpsc,1,src/server/connection.rs,analyzable,,2,3,0,0,0,0,0,0,0,0,0,5
1,rustdesk/rustdesk,mpsc,2,src/cli.rs,analyzable,,0,0,0,0,0,0,0,0,0,0,0,0
1,rustdesk/rustdesk,mpsc,3,libs/clipboard/src/lib.rs,analyzable,,0,0,0,0,0,0,0,0,0,0,0,0
1,rustdesk/rustdesk,mpsc,4,src/server/video_service.rs,analyzable,,1,0,0,0,0,0,0,0,0,0,0,1
1,rustdesk/rustdesk,mpsc,5,src/flutter.rs,analyzable,,0,0,0,0,0,0,0,0,0,0,0,0
1,zed-industries/zed,mpmc_pub_sub,1,crates/open_path_prompt/src/open_path_prompt.rs,analyzable,,0,0,0,0,0,0,2,0,0,0,0,2
1,zed-industries/zed,mpmc_pub_sub,2,crates/agent_ui/src/thread_import.rs,not_relevant,,0,0,0,0,0,0,0,0,0,0,0,0
1,zed-industries/zed,mpmc_pub_sub,3,crates/agent/src/agent.rs,analyzable,,0,0,0,2,1,0,0,0,1,0,0,4
1,zed-industries/zed,mpmc_pub_sub,4,crates/recent_projects/src/remote_connections.rs,analyzable,,0,0,0,0,1,0,0,0,0,0,0,1
1,zed-industries/zed,mpmc_pub_sub,5,crates/context_server/src/oauth.rs,analyzable,,0,0,0,0,0,2,1,0,0,0,0,3
1,astral-sh/ruff,mpmc_competing_consumers,1,crates/ruff/src/lib.rs,analyzable,,0,0,0,0,0,0,0,0,0,0,0,0
1,astral-sh/ruff,mpmc_competing_consumers,2,crates/ty/src/lib.rs,analyzable,,0,0,0,0,0,0,0,1,0,0,0,1
1,warpdotdev/warp,oneshot,1,crates/warpui_core/src/assets/asset_cache.rs,analyzable,,0,0,0,0,0,0,1,0,1,0,0,2
1,warpdotdev/warp,oneshot,2,app/src/ai/skills/skill_manager.rs,analyzable,,0,0,0,0,0,0,0,0,1,0,0,1
1,warpdotdev/warp,oneshot,3,app/src/ai/aws_credentials.rs,analyzable,,0,0,0,0,0,0,0,0,0,0,0,0
1,warpdotdev/warp,oneshot,4,app/src/preview_config_migration.rs,not_relevant,,0,0,0,0,0,0,0,0,0,0,0,0
1,warpdotdev/warp,oneshot,5,app/src/notebooks/notebook.rs,analyzable,,0,0,0,0,0,0,0,0,1,0,0,1
2,denoland/deno,mpsc,1,runtime/ops/worker_host.rs,analyzable,,0,0,0,0,0,0,0,0,0,0,0,0
2,denoland/deno,mpsc,2,cli/tools/bundle/mod.rs,analyzable,,0,1,0,0,0,0,0,0,0,0,0,1
2,denoland/deno,mpsc,3,cli/lsp/diagnostics.rs,analyzable,,0,0,0,0,0,0,0,0,0,0,0,0
2,denoland/deno,mpsc,4,cli/tools/upgrade.rs,not_relevant,,0,0,0,0,0,0,0,0,0,0,0,0
2,denoland/deno,mpsc,5,cli/tools/run/hmr.rs,analyzable,,0,1,0,0,1,0,0,0,0,0,0,2
2,ruvnet/RuView,mpmc_pub_sub,1,v2/crates/ruv-neural/ruv-neural-esp32/src/adc.rs,not_relevant,,0,0,0,0,0,0,0,0,0,0,0,0
